name,category,ra_deg,dec_deg,r_proj_mpc,v_kms,v_mean_kms,delta_v_kms,sigma_v_kms,v_over_sigma,has_emission,slope_dex_per_Re,slope_error_dex_per_Re,gradient_method
1231.0,background,187.4536246,13.4294361,0.30987259888014496,2244.0,1454.388888888889,789.6111111111111,223.8834094919756,3.5268853234942905,,,,
1242.0,background,187.4731182,14.0685841,0.49112660833386107,1611.0,1454.388888888889,156.6111111111111,223.8834094919756,0.6995208419707594,,,,
1244.0,background,187.4847568,13.2200747,0.24880489664620115,1172.0,1454.388888888889,-282.3888888888889,223.8834094919756,-1.2613211918188616,,,,
1250.0,background,187.4961534,12.3487189,0.06205978624304844,1959.0,1454.388888888889,504.6111111111111,223.8834094919756,2.253901315225402,,,,
1253.0,background,187.5091719,13.6365327,0.3656483343673453,1338.0,1454.388888888889,-116.38888888888891,223.8834094919756,-0.5198638396341758,,,,
1259.0,background,187.5253517,12.3772044,0.05251718536470957,1172.0,1454.388888888889,-282.3888888888889,223.8834094919756,-1.2613211918188616,,,,
1261.0,background,187.543047,10.7794918,0.46975254248671844,1825.0,1454.388888888889,370.6111111111111,223.8834094919756,1.655375500811258,,,,
1279.0,background,187.5725711,12.3285593,0.04271287860950392,1349.0,1454.388888888889,-105.38888888888891,223.8834094919756,-0.470731123525552,,,,
1283.0,background,187.576582,13.5776497,0.346131548018391,848.0,1454.388888888889,-606.3888888888889,223.8834094919756,-2.7085030117455977,,,,
1297.0,background,187.6332079,12.4901631,0.03563005076153705,1555.0,1454.388888888889,100.61111111111109,223.8834094919756,0.44939065087231117,,,,
1298.0,background,187.6388495,12.9006515,0.1490384064556018,1172.0,1454.388888888889,-282.3888888888889,223.8834094919756,-1.2613211918188616,,,,
1300.0,background,187.6443597,12.458119,0.026384112392775123,1172.0,1454.388888888889,-282.3888888888889,223.8834094919756,-1.2613211918188616,,,,
1303.0,background,187.6693449,9.0156724,0.9789372364605023,884.0,1454.388888888889,-570.3888888888889,223.8834094919756,-2.5477050317537384,,,,
1308.0,background,187.6912832,11.3431951,0.3039278226103441,1739.0,1454.388888888889,284.6111111111111,223.8834094919756,1.2712469930529269,,,,
1314.0,background,187.704301,13.2238351,0.24148782979931244,35.0,1454.388888888889,-1419.388888888889,223.8834094919756,-6.339857393228427,,,,
1316.0,background,187.7059365,12.3911224,7.716452622914264e-06,1284.0,1454.388888888889,-170.3888888888889,223.8834094919756,-0.7610608096219651,,,,
1317.0,background,187.7107846,12.736586,0.1001951128444176,1172.0,1454.388888888889,-282.3888888888889,223.8834094919756,-1.2613211918188616,,,,
1318.0,background,187.714059,8.360007,1.169025158642866,980.0,1454.388888888889,-474.3888888888889,223.8834094919756,-2.1189104184421126,,,,
1321.0,background,187.7177136,16.7588428,1.2666442373128042,940.0,1454.388888888889,-514.3888888888889,223.8834094919756,-2.29757484065529,,,,
1327.0,background,187.7407131,12.2709806,0.0362728809730593,758.0,1454.388888888889,-696.3888888888889,223.8834094919756,-3.1104979617252466,,,,
1340.0,background,187.793407,13.0973532,0.2063734744589126,1540.0,1454.388888888889,85.61111111111109,223.8834094919756,0.38239149254236965,,,,
1343.0,background,187.8028829,13.1242729,0.21446611110683184,1900.0,1454.388888888889,445.6111111111111,223.8834094919756,1.9903712924609656,,,,
1348.0,background,187.8155531,12.33177,0.03615595498541001,1019.0,1454.388888888889,-435.3888888888889,223.8834094919756,-1.9447126067842648,,,,
1352.0,background,187.8315239,12.6115153,0.07356685575297563,1766.0,1454.388888888889,311.6111111111111,223.8834094919756,1.3918454780468215,,,,
1355.0,background,187.8341502,14.1151537,0.5013510193226187,1245.0,1454.388888888889,-209.3888888888889,223.8834094919756,-0.935258621279813,,,,
1368.0,background,187.8855752,11.624746,0.22827415752648977,1042.0,1454.388888888889,-412.3888888888889,223.8834094919756,-1.841980564011688,,,,
1369.0,background,187.8889577,12.0638064,0.10875605241007565,797.0,1454.388888888889,-657.3888888888889,223.8834094919756,-2.936300150067399,,,,
1379.0,background,187.9142868,16.8529154,1.295330995080537,1507.0,1454.388888888889,52.611111111111086,223.8834094919756,0.23499334421649837,,,,
1386.0,background,187.9638828,12.6569935,0.10743264534530438,1297.0,1454.388888888889,-157.3888888888889,223.8834094919756,-0.7029948724026825,,,,
1389.0,background,187.9667127,12.4818113,0.0800751706507865,877.0,1454.388888888889,-577.3888888888889,223.8834094919756,-2.578971305641044,,,,
1392.0,background,187.9830351,12.1741628,0.10206547741545094,385.0,1454.388888888889,-1069.388888888889,223.8834094919756,-4.776543698863125,,,,
1396.0,background,187.9849804,11.9726948,0.14585585566002182,1094.0,1454.388888888889,-360.3888888888889,223.8834094919756,-1.6097168151345573,,,,
1399.0,background,188.0031452,12.620325,0.10884998321412165,493.0,1454.388888888889,-961.3888888888889,223.8834094919756,-4.294149758887547,,,,
1407.0,background,188.0114114,11.8900782,0.17018182224317518,1007.0,1454.388888888889,-447.3888888888889,223.8834094919756,-1.998311933448218,,,,
1411.0,background,188.0234745,11.8176581,0.19010064339406574,909.0,1454.388888888889,-545.3888888888889,223.8834094919756,-2.4360397678705024,,,,
1412.0,background,188.0259744,11.1763897,0.36429482363954463,1334.0,1454.388888888889,-120.38888888888891,223.8834094919756,-0.5377302818554935,,,,
1414.0,background,188.0388115,12.8389402,0.16182060812321897,192.0,1454.388888888889,-1262.388888888889,223.8834094919756,-5.638599536041705,,,,
1417.0,background,188.0399339,15.3009169,0.8493827206025863,1577.0,1454.388888888889,122.61111111111109,223.8834094919756,0.5476560830895587,,,,
