name,category,ra_deg,dec_deg,v_kms,v_mean_kms,delta_v_kms,has_emission,slope_dex_per_Re,slope_error_dex_per_Re,gradient_method
1392.0,background,187.9830351,12.1741628,385.0,1454.388888888889,,,,,
1396.0,background,187.9849804,11.9726948,1094.0,1454.388888888889,,,,,
1399.0,background,188.0031452,12.620325,493.0,1454.388888888889,,,,,
1407.0,background,188.0114114,11.8900782,1007.0,1454.388888888889,,,,,
1411.0,background,188.0234745,11.8176581,909.0,1454.388888888889,,,,,
1412.0,background,188.0259744,11.1763897,1334.0,1454.388888888889,,,,,
1414.0,background,188.0388115,12.8389402,192.0,1454.388888888889,,,,,
1417.0,background,188.0399339,15.3009169,1577.0,1454.388888888889,,,,,
1419.0,background,188.0437355,13.4193556,561.0,1454.388888888889,,,,,
1420.0,background,188.05101,12.0615256,985.0,1454.388888888889,,,,,
1422.0,background,188.0592337,10.2514606,1300.0,1454.388888888889,,,,,
1426.0,background,188.0982667,11.8933691,833.0,1454.388888888889,,,,,
1431.0,background,188.0974316,11.26296,1489.0,1454.388888888889,,,,,
1438.0,background,188.1446063,12.6391986,1172.0,1454.388888888889,,,,,
1440.0,background,188.1391948,15.4153952,429.0,1454.388888888889,,,,,
1448.0,background,188.1700092,12.7710848,2583.0,1454.388888888889,,,,,
1475.0,background,188.2707092,16.265523,955.0,1454.388888888889,,,,,
1488.0,background,188.3059683,9.3973326,1074.0,1454.388888888889,,,,,
1489.0,background,188.3079662,10.928576,268.0,1454.388888888889,,,,,
1491.0,background,188.3083811,12.857822,1986.0,1454.388888888889,,,,,
1509.0,background,188.381857,9.4592142,808.0,1454.388888888889,,,,,
1512.0,background,188.3943603,11.261948,839.0,1454.388888888889,,,,,
1514.0,background,188.4070872,7.8710636,538.0,1454.388888888889,,,,,
1516.0,background,188.4154727,9.1750335,2329.0,1454.388888888889,,,,,
1523.0,background,188.452803,12.7800364,1108.0,1454.388888888889,,,,,
1528.0,background,188.4650793,13.3224639,1615.0,1454.388888888889,,,,,
