,Age,ZoH,CN1,CN2,Ca4227,G4300,Fe4383,Ca4455,Fe4531,C24668,Hb,Fe5015,Mg1,Mg2,Mgb,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,NaD,TiO1,TiO2,AoFe
125,6,-2.25,-0.1477,-0.0943,0.0811,-0.7567,-0.9188,0.0536,0.1049,0.0229,3.6613,0.5956,0.0024,0.0253,0.6532,0.4865,0.4103,0.0809,0.0211,-0.2796,0.8506,0.0109,-0.0053,0.5
126,8,-2.25,-0.1303,-0.0864,0.1561,-0.3295,-0.5557,0.0589,0.1774,-0.1969,3.1867,0.6029,0.0043,0.0352,0.9447,0.4977,0.404,0.0862,0.0152,-0.2907,0.9367,0.0103,-0.0059,0.5
127,10,-2.25,-0.1222,-0.0816,0.185,-0.2947,-0.2313,0.0756,0.2124,-0.2699,3.0911,0.6147,0.0061,0.0376,0.9511,0.5449,0.4371,0.1107,0.0198,-0.276,0.9926,0.0099,-0.0063,0.5
128,12,-2.25,-0.1202,-0.0804,0.1778,-0.5458,-0.0606,0.0751,0.1837,-0.3057,3.1484,0.5975,0.0091,0.039,0.9693,0.5704,0.4617,0.1286,0.0259,-0.2685,1.0504,0.0095,-0.0069,0.5
129,15,-2.25,-0.1177,-0.0796,0.2454,-0.0949,0.1437,0.1175,0.2323,-0.3061,2.7796,0.6055,0.0139,0.0461,1.0573,0.576,0.5067,0.1428,0.0298,-0.2673,1.1424,0.0092,-0.0072,0.5
130,1,-1.35,-0.1755,-0.0954,-0.0548,-1.1821,-1.3782,0.1066,0.4923,0.0193,4.9652,1.183,0.0156,0.0367,0.8631,0.1938,0.2938,0.0968,0.2437,-0.0279,0.8106,0.0135,-0.0003,0.5
131,2,-1.35,-0.1638,-0.0917,0.0578,-0.7044,-0.9976,0.1677,0.6855,-0.1638,4.5531,1.3391,0.0148,0.0442,0.9984,0.2811,0.3605,0.1476,0.2523,0.0055,0.8477,0.0135,0.0006,0.5
132,3,-1.35,-0.1476,-0.083,0.151,-0.1135,-0.6973,0.2391,0.8558,-0.2112,4.1693,1.4864,0.015,0.0505,1.1153,0.3956,0.4281,0.1919,0.2652,0.0265,0.8973,0.0135,0.0013,0.5
133,4,-1.35,-0.1299,-0.0724,0.2324,0.4835,-0.3488,0.3093,1.0077,-0.2037,3.7579,1.6157,0.0163,0.0571,1.236,0.5107,0.4869,0.2389,0.2781,0.0466,0.9557,0.0137,0.002,0.5
134,5,-1.35,-0.1135,-0.0622,0.3033,1.0492,-0.0338,0.3712,1.1356,-0.1891,3.3497,1.7325,0.0181,0.0631,1.3417,0.6075,0.5331,0.2789,0.2921,0.0616,1.0029,0.014,0.0028,0.5
135,6,-1.35,-0.1018,-0.0549,0.3568,1.4382,0.2364,0.4212,1.2312,-0.1621,3.0585,1.8129,0.02,0.068,1.41,0.6876,0.5806,0.3158,0.3023,0.0804,1.0534,0.0141,0.0034,0.5
136,8,-1.35,-0.0869,-0.0457,0.4264,1.9392,0.5499,0.4714,1.3325,-0.1726,2.673,1.895,0.0233,0.0758,1.546,0.7537,0.6208,0.3431,0.3113,0.0861,1.1348,0.0144,0.004,0.5
137,10,-1.35,-0.0764,-0.0389,0.4809,2.2867,0.7973,0.5151,1.4082,-0.1606,2.4214,1.9667,0.0267,0.0818,1.6243,0.8118,0.6597,0.3711,0.322,0.0965,1.2072,0.0148,0.0048,0.5
138,12,-1.35,-0.0725,-0.036,0.4979,2.3248,0.9381,0.5343,1.4378,-0.1487,2.3482,1.985,0.0287,0.0861,1.6114,0.8463,0.6918,0.3916,0.3232,0.107,1.276,0.0151,0.0053,0.5
139,15,-1.35,-0.0995,-0.0526,0.4514,1.471,0.758,0.4647,1.3129,-0.2288,2.68,1.8699,0.0316,0.0838,1.5436,0.7758,0.6729,0.3823,0.3143,0.0959,1.3534,0.0152,0.0052,0.5
140,1,-0.33,-0.1012,-0.0428,0.3618,1.5276,0.5127,0.7281,1.783,1.3193,4.0471,3.1594,0.0454,0.1167,2.0352,1.2869,0.9182,0.6066,0.623,0.3723,1.5622,0.0218,0.0199,0.5
141,2,-0.33,-0.0573,-0.0118,0.5784,3.0911,1.4869,0.9693,2.1771,1.9839,3.0584,3.5909,0.0573,0.1427,2.5107,1.5421,1.1428,0.7554,0.6532,0.4241,1.8363,0.029,0.0348,0.5
142,3,-0.33,-0.0422,-0.0011,0.6729,3.6431,1.8375,1.0526,2.3116,2.2237,2.7018,3.7242,0.0632,0.1539,2.7013,1.6367,1.2232,0.7945,0.654,0.4375,1.9657,0.0326,0.0418,0.5
143,4,-0.33,-0.0311,0.0069,0.7376,4.0358,2.0959,1.1107,2.4001,2.3569,2.4672,3.8127,0.0674,0.1613,2.822,1.7037,1.2712,0.8271,0.6589,0.4462,2.0492,0.0337,0.0452,0.5
144,5,-0.33,-0.0246,0.0113,0.7802,4.2768,2.2658,1.1452,2.4515,2.4185,2.3286,3.8674,0.0698,0.1659,2.905,1.7463,1.299,0.847,0.6605,0.4503,2.1075,0.0342,0.0469,0.5
145,6,-0.33,-0.0203,0.0139,0.8187,4.4673,2.4136,1.1739,2.4933,2.4632,2.2313,3.9012,0.0726,0.1707,2.9776,1.7803,1.3294,0.8725,0.6605,0.4541,2.1676,0.0349,0.0492,0.5
146,8,-0.33,-0.0125,0.0196,0.8834,4.7776,2.6303,1.2268,2.568,2.5622,2.0652,3.9734,0.078,0.181,3.1548,1.8363,1.3747,0.8951,0.6638,0.4601,2.2838,0.0361,0.0532,0.5
147,10,-0.33,-0.0037,0.0265,0.9513,5.0791,2.8384,1.2908,2.651,2.7083,1.9053,4.0878,0.0843,0.1924,3.3411,1.904,1.4254,0.924,0.6715,0.4717,2.4083,0.0382,0.058,0.5
148,12,-0.33,0.0036,0.0325,1.0015,5.317,2.9928,1.3496,2.7201,2.8065,1.7788,4.2031,0.0903,0.2018,3.487,1.9633,1.4732,0.9624,0.6823,0.4831,2.5165,0.0395,0.062,0.5
149,15,-0.33,0.0076,0.0366,1.0528,5.4596,3.1335,1.4054,2.7865,2.8911,1.6796,4.2446,0.1004,0.2125,3.5937,2.0114,1.5152,0.9953,0.6954,0.4929,2.664,0.0407,0.0667,0.5
150,1,0.0,-0.0865,-0.0317,0.4713,1.97,0.8863,0.9132,1.9971,2.3719,4.2423,3.6276,0.0553,0.1422,2.5052,1.5839,1.1905,0.661,0.6707,0.4255,1.9794,0.0211,0.0191,0.5
151,2,0.0,-0.0156,0.0241,0.7608,4.1596,2.3127,1.2884,2.5714,3.6472,2.7202,4.3365,0.0854,0.1905,3.3042,1.9892,1.5347,0.9051,0.7468,0.5171,2.4654,0.0339,0.045,0.5
152,3,0.0,0.0163,0.0528,0.8858,4.9244,2.9464,1.4517,2.7829,4.259,2.3307,4.6971,0.0977,0.2158,3.772,2.1573,1.6376,1.0118,0.787,0.5583,2.7233,0.0405,0.0582,0.5
153,4,0.0,0.025,0.0599,0.9514,5.2161,3.1736,1.5044,2.8537,4.4123,2.1966,4.7893,0.1034,0.2264,3.968,2.2115,1.6834,1.041,0.7927,0.5671,2.8073,0.0416,0.0618,0.5
154,5,0.0,0.0351,0.0689,1.0122,5.4841,3.3807,1.5599,2.9273,4.5808,2.0675,4.8701,0.1098,0.2371,4.1618,2.2665,1.7289,1.0818,0.8033,0.5795,2.9011,0.0424,0.0655,0.5
155,6,0.0,0.0431,0.076,1.0579,5.7014,3.5354,1.6032,2.9815,4.7062,1.9688,4.944,0.1141,0.2448,4.3038,2.3083,1.7634,1.1037,0.8117,0.5892,2.9671,0.0427,0.0675,0.5
156,8,0.0,0.0466,0.0782,1.1068,5.8847,3.645,1.6337,3.0117,4.7537,1.8825,5.0171,0.1169,0.2514,4.4633,2.3379,1.7893,1.1084,0.8087,0.588,3.0333,0.0431,0.07,0.5
157,10,0.0,0.0544,0.0854,1.1713,6.0951,3.7979,1.6852,3.074,4.8804,1.767,5.0834,0.1234,0.2625,4.6457,2.3851,1.8303,1.1327,0.813,0.5959,3.1548,0.0442,0.075,0.5
158,12,0.0,0.0655,0.0965,1.2399,6.3148,3.9666,1.7502,3.1567,5.0609,1.6401,5.1379,0.1327,0.2758,4.8132,2.4408,1.8785,1.1703,0.8219,0.6089,3.3109,0.0457,0.0815,0.5
159,15,0.0,0.0792,0.1105,1.3255,6.5418,4.0979,1.8308,3.246,5.258,1.5031,5.2558,0.1452,0.2908,5.029,2.5112,1.9346,1.2077,0.8289,0.6225,3.504,0.0481,0.0898,0.5
160,1,0.35,-0.0206,0.026,0.7554,3.5514,2.2169,1.4107,2.6698,4.9471,3.2916,4.8725,0.0966,0.2061,3.3811,2.182,1.7634,1.0457,0.8506,0.6144,3.0798,0.0368,0.0513,0.5
161,2,0.35,0.048,0.0869,1.0357,5.1168,3.7432,1.723,3.0987,6.1722,2.3434,5.4402,0.1261,0.2604,4.3837,2.4911,2.0326,1.2374,0.9261,0.6859,3.5233,0.0424,0.0654,0.5
162,3,0.35,0.059,0.0951,1.1321,5.5201,4.0619,1.7888,3.1854,6.3572,2.1661,5.5705,0.1336,0.273,4.6467,2.5533,2.0868,1.2715,0.9368,0.6953,3.603,0.0427,0.0678,0.5
163,4,0.35,0.0729,0.1079,1.2261,5.8244,4.3123,1.8616,3.2838,6.5922,2.0038,5.6799,0.1435,0.2877,4.8982,2.6238,2.1496,1.3137,0.9465,0.7075,3.7509,0.044,0.0726,0.5
164,5,0.35,0.0804,0.1147,1.2945,6.0396,4.4826,1.9109,3.3499,6.7406,1.8923,5.7411,0.1507,0.298,5.0574,2.6665,2.1913,1.3375,0.9545,0.7166,3.8583,0.0448,0.0766,0.5
165,6,0.35,0.0887,0.1228,1.353,6.2073,4.6179,1.9551,3.4083,6.8789,1.7991,5.7903,0.1572,0.3076,5.1993,2.7033,2.2262,1.3612,0.9614,0.7257,3.965,0.0457,0.0808,0.5
166,8,0.35,0.0966,0.1301,1.4351,6.3806,4.751,2.002,3.4657,6.9907,1.6894,5.8392,0.1641,0.3185,5.3738,2.7455,2.263,1.3797,0.9614,0.7303,4.0942,0.0462,0.0854,0.5
167,10,0.35,0.1079,0.1414,1.5136,6.5395,4.8577,2.0538,3.526,7.1369,1.5868,5.8987,0.1702,0.329,5.5444,2.7892,2.2978,1.401,0.9602,0.7353,4.2339,0.0472,0.0906,0.5
